Kennziffer;Raumeinheit;Aggregat;Ausgaben für Sachinvestitionen;Kinderarmut
;;;2017;2017
"01001";"Flensburg, Stadt";"krsfr. Stadt";"26,5";"25,6"
"01002";"Kiel, Stadt";"krsfr. Stadt";"206,3";"30,2"
"01003";"Lübeck, Stadt";"krsfr. Stadt";"261,6";"26,6"
"01004";"Neumünster, Stadt";"krsfr. Stadt";"215,9";"25,2"
"01051";"Dithmarschen";"Landkreis";"287,0";"19,1"
"01053";"Herzogtum Lauenburg";"Landkreis";"382,5";"13,5"
"01054";"Nordfriesland";"Landkreis";"446,0";"13,0"
"01055";"Ostholstein";"Landkreis";"262,6";"13,4"
"01056";"Pinneberg";"Landkreis";"346,5";"13,9"
"01057";"Plön";"Landkreis";"204,5";"11,9"
"01058";"Rendsburg-Eckernförde";"Landkreis";"366,3";"12,3"
"01059";"Schleswig-Flensburg";"Landkreis";"261,0";"14,1"
"01060";"Segeberg";"Landkreis";"264,0";"11,5"
"01061";"Steinburg";"Landkreis";"278,3";"15,3"
"01062";"Stormarn";"Landkreis";"260,7";"9,5"
"02000";"Hamburg, Stadt";"krsfr. Stadt";"0,0";"20,0"
"03101";"Braunschweig, Stadt";"krsfr. Stadt";"249,2";"14,6"
"03102";"Salzgitter, Stadt";"krsfr. Stadt";"53,7";"26,5"
"03103";"Wolfsburg, Stadt";"krsfr. Stadt";"707,4";"13,3"
"03151";"Gifhorn";"Landkreis";"347,7";"9,0"
"03153";"Goslar";"Landkreis";"224,2";"20,1"
"03154";"Helmstedt";"Landkreis";"223,3";"14,3"
"03155";"Northeim";"Landkreis";"182,9";"14,6"
"03157";"Peine";"Landkreis";"429,5";"15,7"
"03158";"Wolfenbüttel";"Landkreis";"321,0";"13,1"
"03159";"Göttingen";"Landkreis";"194,0";"12,7"
"03241";"Region Hannover";"Landkreis";"268,9";"21,3"
"03251";"Diepholz";"Landkreis";"314,9";"13,2"
"03252";"Hameln-Pyrmont";"Landkreis";"196,2";"20,3"
"03254";"Hildesheim";"Landkreis";"270,6";"16,4"
"03255";"Holzminden";"Landkreis";"174,8";"16,9"
"03256";"Nienburg (Weser)";"Landkreis";"259,3";"17,4"
"03257";"Schaumburg";"Landkreis";"221,7";"15,2"
"03351";"Celle";"Landkreis";"311,6";"17,0"
"03352";"Cuxhaven";"Landkreis";"199,4";"14,9"
"03353";"Harburg";"Landkreis";"250,8";"9,7"
"03354";"Lüchow-Dannenberg";"Landkreis";"183,6";"14,9"
"03355";"Lüneburg";"Landkreis";"302,8";"14,0"
"03356";"Osterholz";"Landkreis";"125,6";"9,3"
"03357";"Rotenburg (Wümme)";"Landkreis";"378,6";"8,8"
"03358";"Heidekreis";"Landkreis";"284,1";"13,9"
"03359";"Stade";"Landkreis";"371,4";"15,4"
"03360";"Uelzen";"Landkreis";"236,6";"13,6"
"03361";"Verden";"Landkreis";"275,7";"12,3"
"03401";"Delmenhorst, Stadt";"krsfr. Stadt";"140,4";"29,6"
"03402";"Emden, Stadt";"krsfr. Stadt";"97,3";"23,2"
"03403";"Oldenburg (Oldenburg), Stadt";"krsfr. Stadt";"87,1";"22,4"
"03404";"Osnabrück, Stadt";"krsfr. Stadt";"91,7";"23,0"
"03405";"Wilhelmshaven, Stadt";"krsfr. Stadt";"22,4";"31,7"
"03451";"Ammerland";"Landkreis";"347,6";"11,2"
"03452";"Aurich";"Landkreis";"248,5";"14,8"
"03453";"Cloppenburg";"Landkreis";"452,5";"10,9"
"03454";"Emsland";"Landkreis";"373,2";"7,9"
"03455";"Friesland";"Landkreis";"253,8";"13,2"
"03456";"Grafschaft Bentheim";"Landkreis";"227,8";"10,4"
"03457";"Leer";"Landkreis";"223,1";"7,7"
"03458";"Oldenburg";"Landkreis";"326,4";"11,6"
"03459";"Osnabrück";"Landkreis";"300,6";"8,7"
"03460";"Vechta";"Landkreis";"527,3";"10,8"
"03461";"Wesermarsch";"Landkreis";"209,9";"17,8"
"03462";"Wittmund";"Landkreis";"339,9";"12,9"
"04011";"Bremen, Stadt";"krsfr. Stadt";"0,0";"30,5"
"04012";"Bremerhaven, Stadt";"krsfr. Stadt";"0,0";"36,7"
"05111";"Düsseldorf, Stadt";"krsfr. Stadt";"290,2";"20,1"
"05112";"Duisburg, Stadt";"krsfr. Stadt";"92,8";"31,1"
"05113";"Essen, Stadt";"krsfr. Stadt";"111,6";"33,6"
"05114";"Krefeld, Stadt";"krsfr. Stadt";"122,6";"24,2"
"05116";"Mönchengladbach, Stadt";"krsfr. Stadt";"103,6";"32,1"
"05117";"Mülheim an der Ruhr, Stadt";"krsfr. Stadt";"259,9";"25,9"
"05119";"Oberhausen, Stadt";"krsfr. Stadt";"160,2";"27,8"
"05120";"Remscheid, Stadt";"krsfr. Stadt";"119,7";"21,8"
"05122";"Solingen, Stadt";"krsfr. Stadt";"181,2";"18,5"
"05124";"Wuppertal, Stadt";"krsfr. Stadt";"134,2";"29,5"
